PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0.0,,,2345,,,,,,,
,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0.0,,,2345,,,,,,,
,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0.0,,,2345,,,,,,,
,Paris 2024 Olympic Games,Olympic Games,85,France,Paris,europe,western europe,2024-07-26T00:00:00,2024-08-11T00:00:00,,,,,2603,,,,,,,WTT Series
,WTT Champions European Summer Series 2022,WTT Champions,65,Hungary,Budapest,europe,eastern europe,2022-07-18T00:00:00,2022-07-23T00:00:00,,,,,2593,,,,,,,WTT Series
,WTT Champions Macao 2022 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2022-10-19T00:00:00,2022-10-23T00:00:00,,,,,2619,,,,,,,WTT Series
,WTT Champions Xinxiang 2023 Presented by Industrial and Commercial Bank of China,WTT Champions,65,China,Xinxiang,asia,east asia,2023-04-09T00:00:00,2023-04-15T00:00:00,,,,,2737,,,,,,,WTT Series
,WTT Champions Macao 2023 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2023-04-17T00:00:00,2023-04-23T00:00:00,,,,,2728,,,,,,,WTT Series
,WTT Champions Frankfurt 2023,WTT Champions,65,Germany,Frankfurt,europe,western europe,2023-10-29T00:00:00,2023-11-05T00:00:00,,,,,2705,,,,,,,WTT Series
,WTT Champions Incheon 2024 Presented by Shinhan Bank,WTT Champions,65,Korea Republic,Incheon,asia,east asia,2024-03-27T00:00:00,2024-03-31T00:00:00,,,,,2899,,,,,,,WTT Series
,WTT Champions Chongqing 2024 Presented by Changan,WTT Champions,65,China,Chongqing,asia,east asia,2024-05-30T00:00:00,2024-06-03T00:00:00,,,,,2941,,,,,,,WTT Series
,WTT Champions Macao 2024 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2024-09-09T00:00:00,2024-09-15T00:00:00,,,,,2983,,,,,,,WTT Series
,WTT Champions Montpellier 2024,WTT Champions,65,France,Montpellier,europe,western europe,2024-10-22T00:00:00,2024-10-27T00:00:00,,,,,2940,,,,,,,WTT Series
,WTT Champions Frankfurt 2024,WTT Champions,65,Germany,Frankfurt,europe,western europe,2024-11-03T00:00:00,2024-11-10T00:00:00,,,,,2877,,,,,,,WTT Series
,WTT Champions Chongqing 2025 Presented by AITO,WTT Champions,65,China,Chongqing,asia,east asia,2025-03-11T00:00:00,2025-03-16T00:00:00,,,,,3086,,,,,,,WTT Series
,WTT Champions Incheon 2025,WTT Champions,65,Korea Republic,Incheon,asia,east asia,2025-04-01T00:00:00,2025-04-06T00:00:00,,,,,3087,,,,,,,WTT Series
,WTT Champions Yokohama 2025,WTT Champions,65,Japan,,asia,east asia,2025-08-07T00:00:00,2025-08-11T00:00:00,,,,,3094,,,,,,,WTT Series
,WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2025-09-09T00:00:00,2025-09-14T00:00:00,,,,,3097,,,,,,,WTT Series
,WTT Champions Montpellier 2025,WTT Champions,65,France,Montpellier,europe,western europe,2025-10-28T00:00:00,2025-11-02T00:00:00,,,,,3099,,,,,,,WTT Series
,WTT Champions Frankfurt 2025,WTT Champions,65,Germany,Frankfurt,europe,western europe,2025-11-04T00:00:00,2025-11-09T00:00:00,,,,,3100,,,,,,,WTT Series
,WTT Contender Doha 2021,WTT Contender,34,Qatar,Doha,asia,west asia,2021-02-28T11:30:00,2021-03-06T23:59:59,"wtt2021,doha",0.0,,,2410,,,,,,,WTT Series
,WTT Contender Budapest 2021,WTT Contender,34,Hungary,Budapest,europe,eastern europe,2021-08-15T00:00:00,2021-08-20T00:00:00,,,,,2487,,,,,,,WTT Series
,WTT Contender Tunis 2021,WTT Contender,34,Tunisia,Tunis,africa,north africa,2021-10-24T00:00:00,2021-10-30T00:00:00,,,,,2502,,,,,,,WTT Series
,WTT Contender Laško 2021 presented by I Feel Slovenia,WTT Contender,34,Slovenia,Laško,europe,southern europe,2021-11-01T00:00:00,2021-11-07T00:00:00,,,,,2503,,,,,,,WTT Series
,WTT Contender Novo Mesto 2021 presented by I Feel Slovenia,WTT Contender,34,Slovenia,Laško,europe,southern europe,2021-11-08T00:00:00,2021-11-14T00:00:00,,,,,2504,,,,,,,WTT Series
,WTT Contender Muscat 2022,WTT Contender,34,Oman,Muscat,asia,west asia,2022-02-27T00:00:00,2022-03-05T00:00:00,,,,,2531,,,,,,,WTT Series
,WTT Contender Doha 2022,WTT Contender,34,Qatar,Doha,asia,west asia,2022-03-18T00:00:00,2022-03-24T00:00:00,,,,,2532,,,,,,,WTT Series
,WTT Contender Zagreb 2022,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2022-06-13T00:00:00,2022-06-19T00:00:00,,,,,2539,,,,,,,WTT Series
,WTT Contender Lima 2022,WTT Contender,34,Peru,Lima,americas,south america,2022-06-14T00:00:00,2022-06-19T00:00:00,,,,,2574,,,,,,,WTT Series
,WTT Contender Tunis 2022,WTT Contender,34,Tunisia,Tunis,africa,north africa,2022-08-01T00:00:00,2022-08-06T00:00:00,,,,,2568,,,,,,,WTT Series
,WTT Contender Muscat 2022,WTT Contender,34,Oman,Muscat,asia,west asia,2022-09-05T00:00:00,2022-09-10T00:00:00,,,,,2605,,,,,,,WTT Series
,WTT Contender Almaty 2022,WTT Contender,34,Kazakhstan,Almaty,asia,middle asia,2022-09-13T00:00:00,2022-09-18T00:00:00,,,,,2606,,,,,,,WTT Series
,WTT Contender Nova Gorica 2022 Presented by I Feel Slovenia,WTT Contender,34,Slovenia,Nova Gorica,europe,southern europe,2022-10-31T00:00:00,2022-11-06T00:00:00,,,,,2589,,,,,,,WTT Series
,WTT Contender Durban 2023,WTT Contender,34,South Africa,Durban,africa,southern africa,2023-01-10T00:00:00,2023-01-15T00:00:00,,,,,2699,,,,,,,WTT Series
,WTT Contender Doha 2023,WTT Contender,34,Qatar,Doha,asia,west asia,2023-01-15T00:00:00,2023-01-21T00:00:00,,,,,2698,,,,,,,WTT Series
,WTT Contender Amman 2023,WTT Contender,34,Jordan,Amman,asia,west asia,2023-02-06T00:00:00,2023-02-12T00:00:00,,,,,2697,,,,,,,WTT Series
,WTT Contender Lagos 2023,WTT Contender,34,Nigeria,Lagos,africa,west africa,2023-06-12T00:00:00,2023-06-18T00:00:00,,,,,2693,,,,,,,WTT Series
,WTT Contender Tunis 2023 Presented by KIA,WTT Contender,34,Tunisia,Tunis,africa,north africa,2023-06-20T00:00:00,2023-06-25T00:00:00,,,,,2691,,,,,,,WTT Series
,WTT Contender Zagreb 2023,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2023-06-26T00:00:00,2023-07-02T00:00:00,,,,,2692,,,,,,,WTT Series
,WTT Contender Lima 2023,WTT Contender,34,Peru,Lima,americas,south america,2023-07-31T00:00:00,2023-08-06T00:00:00,,,,,2721,,,,,,,WTT Series
,WTT Contender Rio de Janeiro 2023,WTT Contender,34,Brazil,Rio De Janeiro,americas,south america,2023-08-07T00:00:00,2023-08-13T00:00:00,,,,,2722,,,,,,,WTT Series
,WTT Contender Almaty 2023,WTT Contender,34,Kazakhstan,Almaty,asia,middle asia,2023-08-29T00:00:00,2023-09-03T00:00:00,,,,,2739,,,,,,,WTT Series
,WTT Contender Muscat 2023,WTT Contender,34,Oman,Muscat,asia,west asia,2023-10-08T00:00:00,2023-10-14T00:00:00,,,,,2775,,,,,,,WTT Series
,WTT Contender Antalya 2023,WTT Contender,34,Türkiye,Antalya,europe,southern europe,2023-10-16T00:00:00,2023-10-22T00:00:00,,,,,2742,,,,,,,WTT Series
,WTT Contender Taiyuan 2023,WTT Contender,34,China,Taiyuan,asia,east asia,2023-11-07T00:00:00,2023-11-12T00:00:00,,,,,2794,,,,,,,WTT Series
,WTT Contender Doha 2024,WTT Contender,34,Qatar,Doha,asia,west asia,2024-01-14T00:00:00,2024-01-20T00:00:00,,,,,2861,,,,,,,WTT Series
,WTT Contender Rio de Janeiro 2024,WTT Contender,34,Brazil,Rio De Janeiro,americas,south america,2024-05-20T00:00:00,2024-05-26T00:00:00,,,,,2867,,,,,,,WTT Series
,WTT Contender Taiyuan 2024,WTT Contender,34,China,Taiyuan,asia,east asia,2024-05-21T00:00:00,2024-05-26T00:00:00,,,,,2865,,,,,,,WTT Series
,WTT Contender Mendoza 2024,WTT Contender,34,Argentina,Mendoza,americas,south america,2024-05-27T00:00:00,2024-06-02T00:00:00,,,,,2934,,,,,,,WTT Series
,WTT Contender Zagreb 2024,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2024-06-03T00:00:00,2024-06-09T00:00:00,,,,,2869,,,,,,,WTT Series
,WTT Contender Lagos 2024,WTT Contender,34,Nigeria,Lagos,africa,west africa,2024-06-19T00:00:00,2024-06-23T00:00:00,,,,,2868,,,,,,,WTT Series
,WTT Contender Tunis 2024 Presented by KIA,WTT Contender,34,Tunisia,Tunis,africa,north africa,2024-06-25T00:00:00,2024-06-30T00:00:00,,,,,2871,,,,,,,WTT Series
,WTT Contender Lima 2024,WTT Contender,34,Peru,Lima,americas,south america,2024-08-21T00:00:00,2024-08-25T00:00:00,,,,,2872,,,,,,,WTT Series
,WTT Contender Almaty 2024,WTT Contender,34,Kazakhstan,Almaty,asia,middle asia,2024-09-03T00:00:00,2024-09-08T00:00:00,,,,,2873,,,,,,,WTT Series
,WTT Contender Muscat 2024,WTT Contender,34,Oman,Muscat,asia,west asia,2024-10-28T00:00:00,2024-11-02T00:00:00,,,,,2997,,,,,,,WTT Series
,WTT Contender Muscat 2025,WTT Contender,34,Oman,Muscat,asia,west asia,2025-01-11T00:00:00,2025-01-17T00:00:00,,,,,3084,,,,,,,WTT Series
,WTT Contender Taiyuan 2025,WTT Contender,34,China,Taiyuan,asia,east asia,2025-04-08T00:00:00,2025-04-13T00:00:00,,,,,3088,,,,,,,WTT Series
